Year,Month,CO2,Temp,CO2_emissions,time_index,CO2_growth,CO2_ma12,Temp_ma12,CO2_lag1,CO2_lag12,Temp_lag1,Month_sin,Month_cos
1996,11,361.04,0.41,24233.477,464,0.003669520738352139,362.6125,0.3208333333333333,359.72,359.61,0.22,-0.5000000000000004,0.8660254037844384
1996,12,362.39,0.37,24233.477,465,0.0037391978728118502,362.74333333333334,0.33,361.04,360.82,0.41,-2.4492935982947064e-16,1.0
1997,1,363.24,0.32,24380.322,466,0.002345539336074509,362.83,0.33666666666666667,362.39,362.2,0.37,0.49999999999999994,0.8660254037844387
1997,2,364.21,0.4,24380.322,467,0.002670410747714902,362.9008333333333,0.33166666666666667,363.24,363.36,0.32,0.8660254037844386,0.5000000000000001
1997,3,364.65,0.52,24380.322,468,0.001208094231349932,362.9316666666667,0.34833333333333333,364.21,364.28,0.4,1.0,6.123233995736766e-17
1997,4,366.49,0.33,24380.322,469,0.005045934457699186,363.0816666666667,0.34833333333333333,364.65,364.69,0.52,0.8660254037844387,-0.4999999999999998
1997,5,366.77,0.34,24380.322,470,0.0007640044748833397,363.2083333333333,0.3541666666666667,366.49,365.25,0.33,0.49999999999999994,-0.8660254037844387
1997,6,365.73,0.54,24380.322,471,-0.0028355645227252646,363.26416666666665,0.37833333333333335,366.77,365.06,0.34,1.2246467991473532e-16,-1.0
1997,7,364.46,0.33,24380.322,472,-0.003472507040713224,363.3283333333334,0.3758333333333333,365.73,363.69,0.54,-0.4999999999999997,-0.8660254037844388
1997,8,362.4,0.41,24380.322,473,-0.005652197772046286,363.39916666666664,0.37000000000000005,364.46,361.55,0.33,-0.8660254037844384,-0.5000000000000004
1997,9,360.44,0.52,24380.322,474,-0.005408388520971252,363.46166666666664,0.3925,362.4,359.69,0.41,-1.0,-1.8369701987210297e-16
1997,10,360.97,0.61,24380.322,475,0.0014704250360670912,363.56583333333333,0.425,360.44,359.72,0.52,-0.8660254037844386,0.5000000000000001
1997,11,362.65,0.64,24380.322,476,0.004654126381693713,363.7,0.44416666666666665,360.97,361.04,0.61,-0.5000000000000004,0.8660254037844384
1997,12,364.51,0.59,24380.322,477,0.005128912174272804,363.8766666666666,0.46249999999999997,362.65,362.39,0.64,-2.4492935982947064e-16,1.0
1998,1,365.39,0.58,24295.713,478,0.0024141998847768686,364.05583333333334,0.48416666666666663,364.51,363.24,0.59,0.49999999999999994,0.8660254037844387
1998,2,366.1,0.88,24295.713,479,0.0019431292591478577,364.2133333333333,0.5241666666666666,365.39,364.21,0.58,0.8660254037844386,0.5000000000000001
1998,3,367.36,0.63,24295.713,480,0.0034416826003824674,364.4391666666666,0.5333333333333333,366.1,364.65,0.88,1.0,6.123233995736766e-17
1998,4,368.79,0.63,24295.713,481,0.0038926393728222486,364.6308333333333,0.5583333333333332,367.36,366.49,0.63,0.8660254037844387,-0.4999999999999998
1998,5,369.56,0.68,24295.713,482,0.0020879091081644763,364.8633333333333,0.5866666666666667,368.79,366.77,0.63,0.49999999999999994,-0.8660254037844387
1998,6,369.13,0.77,24295.713,483,-0.0011635458382942554,365.1466666666667,0.6058333333333333,369.56,365.73,0.68,1.2246467991473532e-16,-1.0
1998,7,367.98,0.66,24295.713,484,-0.003115433587083105,365.44,0.6333333333333333,369.13,364.46,0.77,-0.4999999999999997,-0.8660254037844388
1998,8,366.1,0.65,24295.713,485,-0.005108973313767029,365.7483333333333,0.6533333333333333,367.98,362.4,0.66,-0.8660254037844384,-0.5000000000000004
1998,9,364.16,0.42,24295.713,486,-0.005299098606938002,366.05833333333334,0.645,366.1,360.44,0.65,-1.0,-1.8369701987210297e-16
1998,10,364.54,0.42,24295.713,487,0.0010434973637960532,366.35583333333335,0.6291666666666667,364.16,360.97,0.42,-0.8660254037844386,0.5000000000000001
1998,11,365.67,0.43,24295.713,488,0.0030997970044439604,366.6075,0.6116666666666667,364.54,362.65,0.42,-0.5000000000000004,0.8660254037844384
1998,12,367.3,0.54,24295.713,489,0.004457571033992469,366.84,0.6075,365.67,364.51,0.43,-2.4492935982947064e-16,1.0
1999,1,368.35,0.48,24837.771,490,0.002858698611489352,367.08666666666664,0.5991666666666667,367.3,365.39,0.54,0.49999999999999994,0.8660254037844387
1999,2,369.28,0.64,24837.771,491,0.002524772634722172,367.3516666666667,0.5791666666666667,368.35,366.1,0.48,0.8660254037844386,0.5000000000000001
1999,3,369.84,0.32,24837.771,492,0.0015164644714038555,367.55833333333334,0.5533333333333333,369.28,367.36,0.64,1.0,6.123233995736766e-17
1999,4,371.15,0.31,24837.771,493,0.0035420722474583943,367.75499999999994,0.5266666666666666,369.84,368.79,0.32,0.8660254037844387,-0.4999999999999998
1999,5,371.12,0.26,24837.771,494,-8.082985315904789e-05,367.885,0.4916666666666667,371.15,369.56,0.31,0.49999999999999994,-0.8660254037844387
1999,6,370.46,0.36,24837.771,495,-0.001778400517352896,367.99583333333334,0.45749999999999996,371.12,369.13,0.26,1.2246467991473532e-16,-1.0
1999,7,369.61,0.38,24837.771,496,-0.002294444744371793,368.13166666666666,0.43416666666666665,370.46,367.98,0.36,-0.4999999999999997,-0.8660254037844388
1999,8,367.06,0.31,24837.771,497,-0.0068991639836585295,368.21166666666664,0.4058333333333333,369.61,366.1,0.38,-0.8660254037844384,-0.5000000000000004
1999,9,364.95,0.38,24837.771,498,-0.005748379011605742,368.2775,0.4025,367.06,364.16,0.31,-1.0,-1.8369701987210297e-16
1999,10,365.52,0.34,24837.771,499,0.0015618577887381857,368.3591666666667,0.3958333333333333,364.95,364.54,0.38,-0.8660254037844386,0.5000000000000001
1999,11,366.88,0.37,24837.771,500,0.0037207266360255176,368.46000000000004,0.3908333333333333,365.52,365.67,0.34,-0.5000000000000004,0.8660254037844384
1999,12,368.26,0.4,24837.771,501,0.0037614478848668753,368.53999999999996,0.3791666666666667,366.88,367.3,0.37,-2.4492935982947064e-16,1.0
2000,1,369.45,0.25,25511.482,502,0.0032314125889316703,368.63166666666666,0.36000000000000004,368.26,368.35,0.4,0.49999999999999994,0.8660254037844387
2000,2,369.71,0.55,25511.482,503,0.0007037488158072591,368.66749999999996,0.3525,369.45,369.28,0.25,0.8660254037844386,0.5000000000000001
2000,3,370.75,0.55,25511.482,504,0.0028130156068271184,368.74333333333334,0.37166666666666665,369.71,369.84,0.55,1.0,6.123233995736766e-17
2000,4,371.98,0.56,25511.482,505,0.003317599460552989,368.8125,0.39250000000000007,370.75,371.15,0.55,0.8660254037844387,-0.4999999999999998
2000,5,371.75,0.35,25511.482,506,-0.0006183128125168968,368.865,0.39999999999999997,371.98,371.12,0.56,0.49999999999999994,-0.8660254037844387
2000,6,371.87,0.4,25511.482,507,0.000322797579018097,368.9825,0.4033333333333333,371.75,370.46,0.35,1.2246467991473532e-16,-1.0
2000,7,370.02,0.39,25511.482,508,-0.004974856804797478,369.01666666666665,0.4041666666666666,371.87,369.61,0.4,-0.4999999999999997,-0.8660254037844388
2000,8,368.27,0.42,25511.482,509,-0.0047294740824820325,369.1175,0.41333333333333333,370.02,367.06,0.39,-0.8660254037844384,-0.5000000000000004
